test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
10,0.0657734210643435,0.3860750462142695,-0.05298241246055361,0.03270299939720299,0.12450791408257171,0.24910686005598495,0.008982728896412821,-0.07376554902612806,0.4342070841861674,0.1574466530036881,0.5,30.0,12.0,0.12903497697834845
11,0.16170563820676598,0.13603653132862947,-0.07819476077063814,0.018764359667611943,0.2271965646921567,0.15445629929012514,0.008982728896412821,-0.07376554902612806,0.40887457050514775,0.1574466530036881,0.5,30.0,12.0,0.12457257263338849
12,0.3167853264158946,0.2054673159314194,-0.03079606395194394,0.013134620715359414,0.010540527500524328,0.32031445744159515,0.008982728896412821,-0.07376554902612806,0.3218331835049177,0.1574466530036881,0.5,30.0,12.0,0.35011148949888476
13,0.03429376545347467,0.09290837399303138,-0.04223591940868875,0.016604857036255503,0.048073273907858045,0.4836914983259109,0.008982728896412821,-0.07376554902612806,0.12952624290899734,0.1574466530036881,0.5,30.0,12.0,0.04982121004078958
14,0.7887117241046444,0.3542803619026094,-0.0936162766772316,0.01208117196467169,0.146514851220297,0.15081371665745855,0.008982728896412821,-0.07376554902612806,0.2487996124130841,0.1574466530036881,0.5,30.0,12.0,0.043306741534295735
15,0.1978317079345396,0.044023884352123684,-0.05996403230048351,0.03874101329889281,0.43052231289082105,0.1048928815483107,0.008982728896412821,-0.07376554902612806,0.1819423301008615,0.1574466530036881,0.5,30.0,12.0,0.138018111648155
16,0.14575210287645474,0.1724850656319383,-0.06631463933323872,0.005236150422594963,0.4757155104876466,0.1699701995322742,0.008982728896412821,-0.07376554902612806,0.07095942068087012,0.1574466530036881,0.5,30.0,12.0,0.05016950146080219
17,0.10368266536019397,0.19766716491480563,-0.03844040129508938,0.02141247072070455,0.31614497344580306,0.4150542610490286,0.008982728896412821,-0.07376554902612806,0.49679168178888683,0.1574466530036881,0.5,30.0,12.0,0.11198536849679523
18,0.44258390257717384,0.16613510281729804,-0.03309045373068696,0.02497977656294115,0.34697810468703794,0.09001916415028179,0.008982728896412821,-0.07376554902612806,0.07824759051419726,0.1574466530036881,0.5,30.0,12.0,0.4134867281955641
19,0.5737683930212367,0.4092652066791535,-0.0040769269326130925,0.019784347531249195,0.32463393873397733,0.47284526025470897,0.008982728896412821,-0.07376554902612806,0.29292594054916354,0.1574466530036881,0.5,30.0,12.0,0.45870049395832435
20,0.18156849093363486,0.014227612727238798,-0.048565434495322524,0.029560735204056273,0.06016115497248828,0.35281754797934783,0.008982728896412821,-0.07376554902612806,0.019704563586850216,0.1574466530036881,0.5,30.0,12.0,0.1981457363395959
21,0.09283831708918547,0.258886212477518,-0.0668404574746541,0.006007437209049955,0.054124900928588904,0.24925945269580715,0.008982728896412821,-0.07376554902612806,0.3304181426816206,0.1574466530036881,0.5,30.0,12.0,0.02311458853549367
22,0.06470849732690319,0.4932619259868049,-0.016868854921159707,0.028005487742138718,0.17208717456767447,0.2382130848198818,0.008982728896412821,-0.07376554902612806,0.478196952927306,0.1574466530036881,0.5,30.0,12.0,0.19845729851182908
23,0.08906450356932487,0.49619315863640834,-0.014855002505184772,0.026499527588855848,0.25233640649487826,0.21722429272037652,0.008982728896412821,-0.07376554902612806,0.20855033764206338,0.1574466530036881,0.5,30.0,12.0,0.20771120983888106
24,1.2108686984623667,0.10814591712661598,-0.01790192632141131,0.014942977245396921,0.1676587317368981,0.3445002045625318,0.008982728896412821,-0.07376554902612806,0.4916798227545689,0.1574466530036881,0.5,30.0,12.0,0.20109554360822157
25,0.05305878555485455,0.2348621153004205,-0.045006396282948065,0.010098570151494523,0.21494475430310564,0.39534994711902793,0.008982728896412821,-0.07376554902612806,0.17246176283912334,0.1574466530036881,0.5,30.0,12.0,0.2708992515168651
26,0.025902065497387196,0.2350577058652472,-0.043875511690900516,0.009202886522285195,0.28122835418572156,0.42205425580859396,0.008982728896412821,-0.07376554902612806,0.16921625896183906,0.1574466530036881,0.5,30.0,12.0,0.2828681091826516
27,0.06316801481725734,0.08362689908569423,-0.06371369146998014,0.009262527276015948,0.2840866182885041,0.4651990112306629,0.008982728896412821,-0.07376554902612806,0.11559948651024006,0.1574466530036881,0.5,30.0,12.0,0.29955212798984016
28,0.13036492827307947,0.3033505390174094,-0.03851828821611919,0.016488371252656057,0.29052615699005596,0.42808820153308047,0.008982728896412821,-0.07376554902612806,0.051358269448259455,0.1574466530036881,0.5,30.0,12.0,0.47194878249881567
29,0.2007624778909041,0.021782308599329628,-0.042774690005434955,0.006793531713475371,0.39239644250112027,0.3752040024627028,0.008982728896412821,-0.07376554902612806,0.28026120679078903,0.1574466530036881,0.5,30.0,12.0,0.23813044161559913
30,0.1250546380208306,0.24585747379846068,-0.02751673257641847,0.024095514249996557,0.26465375200954694,0.4409479796221518,0.008982728896412821,-0.07376554902612806,0.18550759600127031,0.1574466530036881,0.5,30.0,12.0,0.43131500690101615
31,0.07815726746505931,0.06719097407320632,-0.05657625198184489,0.016889147336399894,0.2085693268794347,0.3989399052973755,0.008982728896412821,-0.07376554902612806,0.14401514933794754,0.1574466530036881,0.5,30.0,12.0,0.30769922147570966
32,0.2174697639232533,0.21650307256909326,-0.07165514903030318,0.009568178685867413,0.38110910126582354,0.3126628157838604,0.008982728896412821,-0.07376554902612806,0.09300926082312543,0.1574466530036881,0.5,30.0,12.0,0.17196993466770955
33,0.7470131388574889,0.2684063571865626,-0.022926866538115712,0.013300188995625396,0.25006114669692797,0.49560804970300637,0.008982728896412821,-0.07376554902612806,0.352879713219008,0.1574466530036881,0.5,30.0,12.0,0.07082353998888688
34,0.042926562093473286,0.34093338363851255,-0.05002637704616454,0.007788494494313549,0.09741948947960474,0.2918073397339732,0.008982728896412821,-0.07376554902612806,0.15576093291408138,0.1574466530036881,0.5,30.0,12.0,0.29567247616016096
35,0.08199439990776293,0.2862435370569914,-0.039917525149204304,0.0226945197316001,0.49716457811613024,0.37582258581065425,0.008982728896412821,-0.07376554902612806,0.21869977701133742,0.1574466530036881,0.5,30.0,12.0,0.1684330116418888
