test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
27,0.09007230324582635,0.2890179531373915,-0.013153361581012463,0.02577631317901826,0.29903254903666926,0.08163380298501897,0.008982728896412821,-0.07376554902612806,0.4985214048361618,0.1,0.5,30.0,12.0,0.017854040393250933
28,0.24547368628277985,0.16537856644529408,-0.042707867700456245,0.03879548961438367,0.443536871270252,0.14833660805952795,0.008982728896412821,-0.07376554902612806,0.3510221979602359,0.1,0.5,30.0,12.0,0.08578669377418416
29,0.10918202390428088,0.24206440678854052,-0.030599129933673214,0.01925352944362907,0.27638972015049523,0.20486473293926588,0.008982728896412821,-0.07376554902612806,0.2666422509321166,0.1,0.5,30.0,12.0,0.28527983816166524
30,0.2974746120687531,0.2282608238878347,-0.006843954355811883,0.04429860147900873,0.198925638645904,0.17634794452589947,0.008982728896412821,-0.07376554902612806,0.36380434260233374,0.1,0.5,30.0,12.0,0.1689443839731441
31,0.1566907517863999,0.2733649087672837,-0.016335059583006344,0.028798030194760384,0.3773731897721545,0.27344849879688166,0.008982728896412821,-0.07376554902612806,0.4301626810631297,0.1,0.5,30.0,12.0,0.08107212392616836
32,0.13628536675797256,0.029161151563697835,-0.03689332938050518,0.0353418606190293,0.3257484064786511,0.13102282813852806,0.008982728896412821,-0.07376554902612806,0.22264869169525137,0.1,0.5,30.0,12.0,0.04796568948049265
33,0.05695872605490875,0.09751370783592542,-0.0469977821819724,0.005420770651740358,0.47055117472547997,0.07329549526930276,0.008982728896412821,-0.07376554902612806,0.3251169179926892,0.1,0.5,30.0,12.0,0.2774197345148604
34,0.41194531301780546,0.08719654894453055,-0.07073063453333871,0.008904635383333472,0.07838207478114328,0.07270818155737123,0.008982728896412821,-0.07376554902612806,0.2820092658299542,0.1,0.5,30.0,12.0,0.30688765690721315
35,0.020210674069942175,0.16329265882256616,-0.049453654857087116,0.00614725564950026,0.010794516770311291,0.07664693134649952,0.008982728896412821,-0.07376554902612806,0.33703902631058563,0.1,0.5,30.0,12.0,0.32639342354000056
36,0.9628095436529783,0.16045491408025916,-0.058149963300377625,0.038788566992111605,0.017228084374290305,0.22890224140781262,0.008982728896412821,-0.07376554902612806,0.24878726307267796,0.1,0.5,30.0,12.0,0.3208765100902493
37,0.32504582805867965,0.38306264360563846,-0.073388461373142,0.013043851368682285,0.1245033420788971,0.2677633892160244,0.008982728896412821,-0.07376554902612806,0.19159638599058862,0.1,0.5,30.0,12.0,0.4113854994181039
38,1.4563749252523135,0.25881108999275243,-0.07887786154161935,0.04641036148784888,0.054064691402592804,0.17454945583020076,0.008982728896412821,-0.07376554902612806,0.38283625046982883,0.1,0.5,30.0,12.0,0.3967451801934395
39,0.7209620115707933,0.31327512277561576,-0.08823785623443914,0.023531126409775026,0.17192940246653413,0.031115760448391816,0.008982728896412821,-0.07376554902612806,0.29162085319423975,0.1,0.5,30.0,12.0,0.25678915824223525
40,0.6247173521846586,0.3392171399107058,-0.06588586618077302,0.04985257173696399,0.10515710550147511,0.12383319238518709,0.008982728896412821,-0.07376554902612806,0.33584865640816447,0.1,0.5,30.0,12.0,0.4477621770647153
41,0.08489867849640598,0.21762261307507344,-0.05188240321126165,0.005523904361299682,0.16790951995798678,0.4342236982341787,0.008982728896412821,-0.07376554902612806,0.2267436228748836,0.1,0.5,30.0,12.0,0.3229306021075876
42,1.0612940820009304,0.14754500070811502,-0.0895304876588071,0.01757874911636148,0.05378414497047605,0.49774140812906936,0.008982728896412821,-0.07376554902612806,0.1721102984784246,0.1,0.5,30.0,12.0,0.18861922427036415
43,0.449699433867947,0.17179700938364428,-0.02297927075566599,0.049912423078551746,0.1355679380382581,0.05851578183748273,0.008982728896412821,-0.07376554902612806,0.10162486169011209,0.1,0.5,30.0,12.0,0.260464632719984
