test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
21,0.3970489508330206,0.06316533066995214,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
22,0.36369391302165355,0.033176272313164626,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
23,0.3245710287916299,0.06583111851897161,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
24,0.4593726390250765,0.0032696002782857253,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
25,0.35219552235814744,0.12545488943444202,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
26,0.13001389442987146,0.03346662348289029,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
27,0.17585383533365076,0.037964627375450095,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
28,0.837844299763488,0.07273442025743923,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
29,0.44787850619805947,0.168778741882044,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
30,1.4794286607000007,0.002379751770361385,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
31,0.30476979538909194,0.09254246562505257,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
32,0.27723525241772784,0.12210862089212363,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
33,0.2718147466401486,0.15001842973878782,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
34,0.5037413465438294,0.056395328719762675,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
35,0.6080586000958551,0.07234654045055408,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
36,0.2454829604750408,0.19645655657927935,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
37,0.7126722405622361,0.012849305781219414,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
38,0.2791092023869501,0.02852585211469665,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
39,0.24140662941878518,0.04318658827113384,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
40,0.463452676678385,0.07914621973895444,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
41,0.701380175511875,0.0559308046316765,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
42,1.2976826785647253,0.13877898719957826,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
43,0.8329036543878364,0.1595438406568052,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
44,0.816142584306251,0.09483642611092438,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
45,0.42992882673229804,0.18432957105926773,0.009324615345329726,-0.06702464541055266,0.05,0.5,30.0,12.0
