test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
27,0.08451803923159068,0.45703554239237476,-0.007246013553903641,0.024464803588946725,0.43044741880974524,0.40011653787743434,0.009324615345329726,-0.06702464541055266,0.277593361808855,0.1,0.5,30.0,12.0,0.11355444220521471
28,0.08984662441397467,0.4679073973003192,-0.006341878596406554,0.02358991296498499,0.42265015220661467,0.39679054196965774,0.009324615345329726,-0.06702464541055266,0.26907330110145805,0.1,0.5,30.0,12.0,0.020325443663592374
29,0.3499001652170641,0.37306652260969747,-0.01997489595646409,0.03478505470821415,0.13091941898981477,0.2394056400990362,0.009324615345329726,-0.06702464541055266,0.35582632967451777,0.1,0.5,30.0,12.0,0.11325612244632424
30,0.15580287981681512,0.10170656044656165,-0.039093792576612184,0.012530269112965703,0.22688274710655185,0.3355956018431984,0.009324615345329726,-0.06702464541055266,0.27274458593711454,0.1,0.5,30.0,12.0,0.04864756390232744
31,0.5082510510454159,0.49819029202817044,-0.011547341234686176,0.02411360564240681,0.295058671850243,0.09458702719755224,0.009324615345329726,-0.06702464541055266,0.15361392783571062,0.1,0.5,30.0,12.0,0.07957705794031211
32,5.77793288044563,0.30656072584522454,-0.08010691051708281,0.032072813169451764,0.06279120619449019,0.23583101556567435,0.009324615345329726,-0.06702464541055266,0.11176176289341067,0.1,0.5,30.0,12.0,0.02227682442283728
33,0.40520608228865834,0.4505780584422543,-0.014370296887671167,0.037410632038134925,0.19621798587643602,0.43916245641684865,0.009324615345329726,-0.06702464541055266,0.191603848462023,0.1,0.5,30.0,12.0,0.19841785009728646
34,0.20787933864908414,0.3539538947159304,-0.023992305548731045,0.02669955015226478,0.456813413951055,0.39854304885114805,0.009324615345329726,-0.06702464541055266,0.2852506258948998,0.1,0.5,30.0,12.0,0.05073836655031973
35,0.12320836012341407,0.4123993299471008,-0.03646885847332296,0.018552579055685997,0.24330503481938065,0.4535370922033546,0.009324615345329726,-0.06702464541055266,0.3513331411333786,0.1,0.5,30.0,12.0,0.34562087942736697
36,0.24616447589551765,0.26247566127419253,-0.025568456445480378,0.015430498229268348,0.1365981403728834,0.39550659269992294,0.009324615345329726,-0.06702464541055266,0.17697300343032746,0.1,0.5,30.0,12.0,0.16630462188635714
