test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
27,0.5787420761342091,0.08752220164791759,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
28,0.1800064654054287,0.01586956972897545,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
29,0.1781341855202553,0.043963370976748975,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
30,0.30145484133555756,0.07065734937835075,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
31,0.5536986070286001,0.09154862091626467,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
32,0.238512814612901,0.017361087992406578,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
33,0.5006420838988244,0.002443966247824775,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
34,0.37657145427351046,0.07605272055192253,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
35,1.0038935588016764,0.04785615807383977,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
36,1.3955912938312327,0.05965776240314505,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
37,0.3984490032038732,0.11448966001129152,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
38,0.30390387713189065,0.16398440620135205,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
39,0.1393637205583011,0.04106790426703213,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
40,0.15645748490637215,0.019773288118965525,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
41,0.7776763511099777,0.08239818682626587,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
42,0.6827856506525241,0.06233521017697329,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
43,0.1572123691210559,0.037920361297665364,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
44,0.2848662706597881,0.09518535164743347,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
45,0.7136642928922543,0.13554045929604092,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
46,0.18824750764620168,0.011279742157609591,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
47,0.5252394317499536,0.11005352550734962,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
48,0.6685778164753704,0.17633273170161867,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
49,0.43260116927120384,0.05101426103495964,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
50,0.5660834783978999,0.07945077003718837,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
51,0.3497389510386841,0.11789836761431707,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
52,0.7991561527000233,0.13998178983187207,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
53,0.5481222445842032,0.1010444965374765,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
54,0.23988204293638912,0.021039179548260796,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
55,1.0428818912706554,0.06577800242925458,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
56,0.21766719786806307,0.0114015353730587,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
57,0.10356745067360958,0.031430435693890646,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
58,1.4195375774673422,0.0721744694603087,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
59,0.116322737990192,0.057884728181320726,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
60,0.2932573303316857,0.029096600273265216,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
61,1.411162353310308,0.16229154924861222,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
62,0.5900032302503496,0.048692621939467905,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
63,0.60004917605259,0.0960517533066928,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
64,0.18481679201671392,0.035883457141571304,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
65,0.19169159535787866,0.044125936620885875,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
66,0.3707495097741077,0.05531781352591555,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
67,0.5847169032742032,0.0026508063262477566,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
68,0.17014366278657558,0.08539954805150077,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
69,0.15446957131176572,0.026012008635468473,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
70,3.451419527430552,0.07567208646784129,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
71,0.4575858724422892,0.06570227715873207,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
72,0.1354133340127598,0.0340550248178837,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
73,0.21149644862499098,0.057914391591263985,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
