test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
21,0.17219737850752598,0.01973456118813352,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
22,0.2686294931304216,0.011126679442310158,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
23,0.07748843757729074,0.02574411801838429,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
24,0.10108716782110932,0.025153500994439974,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
25,0.1123842507150542,0.029961571371552902,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
26,2.279684696275817,0.08017474565995929,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
27,0.523341574978035,0.08760302567455734,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
28,0.03397681917189415,0.035231135951993,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
29,0.13021861419652622,0.039553201288076864,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
30,1.6936642759555345,0.002608429331948506,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
31,0.48800276675155396,0.0839382440849006,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
32,0.06841537895637238,0.036461953098040255,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
33,0.33558197277656665,0.07482650489473329,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
34,0.0389460957132583,0.050249697287524056,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
35,0.14561002525468383,0.054852009301558355,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
36,0.4348099227373628,0.0922993962395196,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
37,0.18398153686699376,0.012197160391623052,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
38,1.21743532331058,0.12807990172203032,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
39,0.8328130928969346,0.06843004534470894,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
40,0.23038432474807505,0.05606154590812083,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
41,0.07083039042833728,0.04863921068049304,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
42,1.3002853677431716,0.09600119567781104,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
43,0.5129539099981455,0.13567105128188317,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
44,0.9447531292502085,0.07390721825182853,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
45,0.26239102655467517,0.03442532528223139,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
46,0.3390448907471776,0.013394420368229364,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
47,0.6442058089728454,0.059874726607507464,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
48,0.12353827389362843,0.04535058455853524,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
49,1.1869856826590266,0.11911142133462621,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
50,1.2475672202917414,0.10454646666281406,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
51,0.9165792563050292,0.0687383740148863,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
52,0.46291178716508197,0.0038818628698007035,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
53,0.73703175317209,0.09757398919158383,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
54,0.26087690753222337,0.01933239080083243,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
55,0.578631233120282,0.05062313187472333,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
56,0.09866381786937035,0.042158309313643255,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
57,0.0494888152684419,0.030049381657021538,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
58,0.29555453861454306,0.0779034407458686,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
59,0.9897280221653787,0.061872762123934895,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
