frame,time,type,name,concentration
52,13.0,topo,topoI,0.17
52,13.0,topo,gyrase,0.44
52,13.0,lacI,lacI,0.2
53,13.25,RNAP,RNAP,0.2
53,13.25,topo,topoI,0.17
53,13.25,topo,gyrase,0.44
53,13.25,lacI,lacI,0.2
54,13.5,RNAP,RNAP,0.2
54,13.5,topo,topoI,0.17
54,13.5,topo,gyrase,0.44
54,13.5,lacI,lacI,0.2
55,13.75,RNAP,RNAP,0.2
55,13.75,topo,topoI,0.17
55,13.75,topo,gyrase,0.44
55,13.75,lacI,lacI,0.2
56,14.0,RNAP,RNAP,0.2
56,14.0,topo,topoI,0.17
56,14.0,topo,gyrase,0.44
56,14.0,lacI,lacI,0.2
57,14.25,RNAP,RNAP,0.2
57,14.25,topo,topoI,0.17
57,14.25,topo,gyrase,0.44
57,14.25,lacI,lacI,0.2
58,14.5,RNAP,RNAP,0.2
58,14.5,topo,topoI,0.17
58,14.5,topo,gyrase,0.44
58,14.5,lacI,lacI,0.2
59,14.75,RNAP,RNAP,0.2
59,14.75,topo,topoI,0.17
59,14.75,topo,gyrase,0.44
59,14.75,lacI,lacI,0.2
60,15.0,RNAP,RNAP,0.2
60,15.0,topo,topoI,0.17
60,15.0,topo,gyrase,0.44
60,15.0,lacI,lacI,0.2
61,15.25,RNAP,RNAP,0.2
61,15.25,topo,topoI,0.17
61,15.25,topo,gyrase,0.44
61,15.25,lacI,lacI,0.2
62,15.5,RNAP,RNAP,0.2
62,15.5,topo,topoI,0.17
62,15.5,topo,gyrase,0.44
62,15.5,lacI,lacI,0.2
63,15.75,RNAP,RNAP,0.2
63,15.75,topo,topoI,0.17
63,15.75,topo,gyrase,0.44
63,15.75,lacI,lacI,0.2
64,16.0,RNAP,RNAP,0.2
64,16.0,topo,topoI,0.17
64,16.0,topo,gyrase,0.44
64,16.0,lacI,lacI,0.2
65,16.25,RNAP,RNAP,0.2
65,16.25,topo,topoI,0.17
65,16.25,topo,gyrase,0.44
65,16.25,lacI,lacI,0.2
66,16.5,RNAP,RNAP,0.2
66,16.5,topo,topoI,0.17
66,16.5,topo,gyrase,0.44
66,16.5,lacI,lacI,0.2
67,16.75,RNAP,RNAP,0.2
67,16.75,topo,topoI,0.17
67,16.75,topo,gyrase,0.44
67,16.75,lacI,lacI,0.2
68,17.0,RNAP,RNAP,0.2
68,17.0,topo,topoI,0.17
68,17.0,topo,gyrase,0.44
68,17.0,lacI,lacI,0.2
69,17.25,RNAP,RNAP,0.2
69,17.25,topo,topoI,0.17
69,17.25,topo,gyrase,0.44
69,17.25,lacI,lacI,0.2
70,17.5,RNAP,RNAP,0.2
70,17.5,topo,topoI,0.17
70,17.5,topo,gyrase,0.44
70,17.5,lacI,lacI,0.2
71,17.75,RNAP,RNAP,0.2
71,17.75,topo,topoI,0.17
71,17.75,topo,gyrase,0.44
71,17.75,lacI,lacI,0.2
72,18.0,RNAP,RNAP,0.2
72,18.0,topo,topoI,0.17
72,18.0,topo,gyrase,0.44
72,18.0,lacI,lacI,0.2
73,18.25,RNAP,RNAP,0.2
73,18.25,topo,topoI,0.17
73,18.25,topo,gyrase,0.44
73,18.25,lacI,lacI,0.2
74,18.5,RNAP,RNAP,0.2
74,18.5,topo,topoI,0.17
74,18.5,topo,gyrase,0.44
74,18.5,lacI,lacI,0.2
75,18.75,RNAP,RNAP,0.2
75,18.75,topo,topoI,0.17
75,18.75,topo,gyrase,0.44
75,18.75,lacI,lacI,0.2
76,19.0,RNAP,RNAP,0.2
76,19.0,topo,topoI,0.17
76,19.0,topo,gyrase,0.44
76,19.0,lacI,lacI,0.2
77,19.25,RNAP,RNAP,0.2
77,19.25,topo,topoI,0.17
77,19.25,topo,gyrase,0.44
77,19.25,lacI,lacI,0.2
78,19.5,RNAP,RNAP,0.2
78,19.5,topo,topoI,0.17
78,19.5,topo,gyrase,0.44
78,19.5,lacI,lacI,0.2
79,19.75,RNAP,RNAP,0.2
79,19.75,topo,topoI,0.17
79,19.75,topo,gyrase,0.44
79,19.75,lacI,lacI,0.2
80,20.0,RNAP,RNAP,0.2
80,20.0,topo,topoI,0.17
80,20.0,topo,gyrase,0.44
80,20.0,lacI,lacI,0.2
