test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,sigma0_gyrase
26,1.635068727828743,0.0552750192058228,0.7395325379027031,6.057539210221535,0.05365337264815925,0.6872029403457998,17.068562534460288,-0.11
27,1.3632378750869023,0.008194278938450254,0.9962570597372642,19.40521696316786,0.07096960637319497,0.49787262483884975,15.376337093971108,-0.11
28,4.1924758012786025,0.0399735427674152,0.41271654668333224,7.376014000952047,0.08797467659623501,0.9952729086722739,12.801474091238363,-0.11
29,2.4306257972054484,0.02611647610734701,0.8316342413490486,15.940904498403063,0.041416858027080894,0.8232647078478662,19.206666896508104,-0.11
30,1.1620681382508933,0.05522636849838225,0.9005860813788102,4.3637936432563285,0.08027230586779023,0.3239231005169587,6.86652667681245,-0.11
31,1.2269000236079872,0.053477718539439396,0.8833012332693518,4.535357406664362,0.04674824350715585,0.3212406564113385,7.621573754073376,-0.11
32,0.8581050234431048,0.05421214824689006,0.8821216432370137,4.248924249357753,0.08213119838413874,0.31302701250152226,7.535963657348212,-0.11
33,3.022908110801522,0.07403421602682647,0.9596427277271647,1.3477757838973736,0.08121966965020863,0.30513427710016705,3.1397747715838005,-0.11
34,10.031533872722404,0.05653043864332262,0.5946277906657875,0.20762090365200603,0.0898790247163476,0.04042682901302269,5.838858561789972,-0.11
35,24.392840208047815,0.060921658386826165,0.7625960542446799,4.126026272493226,0.07982302981834678,0.29568809018063535,0.10260335398224729,-0.11
36,7.880034263700669,0.047822019477707985,0.6432071368566479,8.64386151831082,0.09942161669756118,0.490278321105202,2.486237091006924,-0.11
37,0.6877151962923402,0.08341051806387004,0.8951931357948293,2.2995334548210735,0.06730338992268473,0.2752480158221261,7.580137453410676,-0.11
38,1.1791520085051865,0.0828142044788292,0.6921448802116644,2.360108011961508,0.059473109772295134,0.04976199756882735,4.543219610498747,-0.11
39,0.1258091038918182,0.07953462521730795,0.5403301975664576,1.6273045198821168,0.06892502004198961,0.24841761738491513,7.46753208461397,-0.11
40,5.386780198708873,0.08572187045925672,0.058142357683934276,1.6350956639252812,0.06586403965528098,0.2550436932341416,3.6567673808932954,-0.11
