test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,sigma0_gyrase
14,2.4005478556194455,0.0891546959127363,0.8629536230445496,7.462771671019284,0.08421042089660151,0.8060474582656857,16.522742469191126,-0.12878224954040496
15,2.1863662752564617,0.035313089053159316,0.5372919385510226,4.266550345279912,0.01898862468849632,0.5729399962665673,9.139803721258806,-0.14987770279591045
16,14.669596614490422,0.09170147275281393,0.3152253404947177,10.833506840657591,0.022432113409840727,0.9589635488651561,1.8791846640396415,-0.14134431740851913
17,10.890684733867488,0.08070876190480945,0.05868407640796976,6.935300233978712,0.0036113023969934466,0.8624670710245627,15.039839279710957,-0.07994175000825068
18,0.9843029752639371,0.020795368121845816,0.31404367366715696,2.582147214589665,0.023658682922428866,0.8066322287114661,19.541893667345597,-0.10091058986864504
19,9.286206996787353,0.027777625291664727,0.659996991441252,7.261736232463947,0.04574734698334819,0.9712912258043541,3.5763707165065117,-0.1378311486931524
20,1.0808007756219198,0.0036804953613018172,0.30285057652313135,12.956811722584394,0.029833851295918562,0.6026582535164213,6.955546103477988,-0.10149634727886149
21,16.162137425064707,0.024311748243180106,0.40348803551638374,19.96605288304907,0.03350443873973942,0.647036010273329,1.7157699636737451,-0.08885678827328646
22,4.1880852554291454,0.03959013638434785,0.2469650482591381,12.467045118933912,0.03630720629067676,0.32514067684013265,11.591163702306126,-0.10377873048848915
23,0.5985852436568747,0.015698770023511183,0.4065220236020564,14.704585968742995,0.06136287930861574,0.01802347416445982,6.650677833522949,-0.11868046625031753
24,0.7422209833746649,0.007904324702146796,0.4307569416895001,15.248305244678061,0.0616230193822519,0.022482978510827117,5.832977832852418,-0.1171659432199131
25,20.741310935794075,0.03228538634523201,0.4409554257892161,14.646445891387309,0.06583029454088112,0.031620239746605994,0.22380740420612533,-0.12063952686653846
26,3.0422129489916854,0.046200256721260706,0.5878220868398052,19.276243914027045,0.09323979227433948,0.10815396132243438,5.842385764106475,-0.11866546184339753
27,3.9942089949299637,0.001224092538792406,0.42362089341425535,16.56170099043739,0.06005278593304006,0.015744570287632622,2.31167177957192,-0.12897228742618239
28,0.6354779993175985,0.008715815325059561,0.2138388964430586,13.753814950873224,0.0886081285295594,0.11795956437693288,5.869465944058684,-0.12535702635436777
29,24.9747217644759,0.017860167102366944,0.21376280196686853,13.684169914434062,0.08749545434368627,0.10626356217027592,0.08156633490870746,-0.1252395436424261
30,8.019947567538278,0.058024067064913656,0.17551879135689785,18.02640913143055,0.07306093615690913,0.5187006974215056,8.842191237529725,-0.10893186996953247
31,2.0358300632219053,0.04205362976322933,0.3630814868570151,11.08366165647635,0.09080676154321822,0.21040949898709924,10.520022549046013,-0.13499298030314213
