frame,time,type,name,twist,superhelical,#enzymes,binding,unbinding
37,18.5,circuit,topos,-66.30768848628603,-0.03693618735656491,0,0,0
38,19.0,circuit,topos,-66.17142191765791,-0.03686028111365124,0,0,0
39,19.5,circuit,topos,-66.03601029849156,-0.036784851113752834,0,0,0
40,20.0,circuit,topos,-65.90144804103443,-0.03670989424425516,0,0,0
41,20.5,circuit,topos,-65.76772958438315,-0.03663540740749981,0,0,0
42,21.0,circuit,topos,-65.63484939475931,-0.03656138752093814,0,0,0
43,21.5,circuit,topos,-65.50280196577036,-0.036487831517276546,0,0,0
44,22.0,circuit,topos,-65.37158181865574,-0.03641473634461367,0,0,0
45,22.5,circuit,topos,-65.24118350251888,-0.03634209896656952,0,0,0
46,23.0,circuit,topos,-65.11160159454526,-0.03626991636240704,0,0,0
47,23.5,circuit,topos,-64.98283070020696,-0.03619818552714598,0,0,0
48,24.0,circuit,topos,-64.85486545345404,-0.036126903471669525,0,0,0
49,24.5,circuit,topos,-64.72770051689315,-0.036056067222823805,0,0,0
50,25.0,circuit,topos,-64.60133058195365,-0.03598567382351043,0,0,0
51,25.5,circuit,topos,-64.47575036904166,-0.035915720332772266,0,0,0
52,26.0,circuit,topos,-64.35095462768226,-0.035846203825872676,0,0,0
53,26.5,circuit,topos,-64.22693813665032,-0.03577712139436842,0,0,0
54,27.0,circuit,topos,-64.10369570409017,-0.035708470146176265,0,0,0
55,27.5,circuit,topos,-63.981222167624445,-0.035640247205633635,0,0,0
56,28.0,circuit,topos,-63.85951239445249,-0.035572449713553445,0,0,0
57,28.5,circuit,topos,-63.738561281438535,-0.03550507482727322,0,0,0
58,29.0,circuit,topos,-63.61836375519001,-0.03543811972069867,0,0,0
59,29.5,circuit,topos,-63.49891477212628,-0.035371581584342046,0,0,0
60,30.0,circuit,topos,-63.38020931853802,-0.03530545762535517,0,0,0
61,30.5,circuit,topos,-63.2622424106377,-0.03523974506755755,0,0,0
62,31.0,circuit,topos,-63.14500909460116,-0.03517444115145961,0,0,0
63,31.5,circuit,topos,-63.02850444660089,-0.03510954313428113,0,0,0
64,32.0,circuit,topos,-62.91272357283103,-0.03504504828996522,0,0,0
65,32.5,circuit,topos,-62.79766160952437,-0.03498095390918783,0,0,0
66,33.0,circuit,topos,-62.683313722961806,-0.03491725729936293,0,0,0
67,33.5,circuit,topos,-62.56967510947427,-0.03485395578464365,0,0,0
68,34.0,circuit,topos,-62.45674099543747,-0.034791046705919336,0,0,0
69,34.5,circuit,topos,-62.344506637259734,-0.03472852742080877,0,0,0
70,35.0,circuit,topos,-62.23296732136306,-0.03466639530364962,0,0,0
71,35.5,circuit,topos,-62.12211836415777,-0.03460464774548431,0,0,0
72,36.0,circuit,topos,-62.01195511201081,-0.03454328215404237,0,0,0
73,36.5,circuit,topos,-61.902472941208046,-0.034482295953719454,0,0,0
74,37.0,circuit,topos,-61.79366725791072,-0.03442168658555304,0,0,0
75,37.5,circuit,topos,-61.68553349810625,-0.034361451507195065,0,0,0
76,38.0,circuit,topos,-61.57806712755366,-0.034301588192881496,0,0,0
77,38.5,circuit,topos,-61.47126364172369,-0.034242094133399,0,0,0
78,39.0,circuit,topos,-61.365118565733965,-0.034182966836048795,0,0,0
79,39.5,circuit,topos,-61.25962745427925,-0.034124203824607825,0,0,0
80,40.0,circuit,topos,-61.15478589155704,-0.03406580263928732,0,0,0
81,40.5,circuit,topos,-61.050589491188724,-0.03400776083668881,0,0,0
82,41.0,circuit,topos,-60.94703389613634,-0.03395007598975788,0,0,0
