frame,time,type,name,concentration
160,80.0,topo,gyrase,0.25
161,80.5,topo,topoI,0.25
161,80.5,topo,gyrase,0.25
162,81.0,topo,topoI,0.25
162,81.0,topo,gyrase,0.25
163,81.5,topo,topoI,0.25
163,81.5,topo,gyrase,0.25
164,82.0,topo,topoI,0.25
164,82.0,topo,gyrase,0.25
165,82.5,topo,topoI,0.25
165,82.5,topo,gyrase,0.25
166,83.0,topo,topoI,0.25
166,83.0,topo,gyrase,0.25
167,83.5,topo,topoI,0.25
167,83.5,topo,gyrase,0.25
168,84.0,topo,topoI,0.25
168,84.0,topo,gyrase,0.25
169,84.5,topo,topoI,0.25
169,84.5,topo,gyrase,0.25
170,85.0,topo,topoI,0.25
170,85.0,topo,gyrase,0.25
171,85.5,topo,topoI,0.25
171,85.5,topo,gyrase,0.25
172,86.0,topo,topoI,0.25
172,86.0,topo,gyrase,0.25
173,86.5,topo,topoI,0.25
173,86.5,topo,gyrase,0.25
174,87.0,topo,topoI,0.25
174,87.0,topo,gyrase,0.25
175,87.5,topo,topoI,0.25
175,87.5,topo,gyrase,0.25
176,88.0,topo,topoI,0.25
176,88.0,topo,gyrase,0.25
177,88.5,topo,topoI,0.25
177,88.5,topo,gyrase,0.25
178,89.0,topo,topoI,0.25
178,89.0,topo,gyrase,0.25
179,89.5,topo,topoI,0.25
179,89.5,topo,gyrase,0.25
180,90.0,topo,topoI,0.25
180,90.0,topo,gyrase,0.25
181,90.5,topo,topoI,0.25
181,90.5,topo,gyrase,0.25
182,91.0,topo,topoI,0.25
182,91.0,topo,gyrase,0.25
183,91.5,topo,topoI,0.25
183,91.5,topo,gyrase,0.25
184,92.0,topo,topoI,0.25
184,92.0,topo,gyrase,0.25
185,92.5,topo,topoI,0.25
185,92.5,topo,gyrase,0.25
186,93.0,topo,topoI,0.25
186,93.0,topo,gyrase,0.25
187,93.5,topo,topoI,0.25
187,93.5,topo,gyrase,0.25
188,94.0,topo,topoI,0.25
188,94.0,topo,gyrase,0.25
189,94.5,topo,topoI,0.25
189,94.5,topo,gyrase,0.25
190,95.0,topo,topoI,0.25
190,95.0,topo,gyrase,0.25
191,95.5,topo,topoI,0.25
191,95.5,topo,gyrase,0.25
192,96.0,topo,topoI,0.25
192,96.0,topo,gyrase,0.25
193,96.5,topo,topoI,0.25
193,96.5,topo,gyrase,0.25
194,97.0,topo,topoI,0.25
194,97.0,topo,gyrase,0.25
195,97.5,topo,topoI,0.25
195,97.5,topo,gyrase,0.25
196,98.0,topo,topoI,0.25
196,98.0,topo,gyrase,0.25
