test,loss,RNAP_dist,fold_change,k_on,width,threshold,k_off,k_cat
19,1.4387296331255495,244.5184468328126,16.10664621141214,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
20,2.91653487520843,24.24555242119544,4.166072930737124,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
21,4.624012038028734,58.16344849106383,9.371861135649322,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
22,11.944354604874627,322.9415148736132,21.652098506698195,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
23,2.445865393994921,310.046612186793,8.679313026026179,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
24,4.5278075095562285,87.98114285331413,0.18662060069958386,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
25,2.7967291379243426,40.19007734422904,32.105601845518564,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
26,0.8130149269596904,128.26692597901786,20.446842743630878,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
27,2.8094693900422283,289.70413231804247,0.16186371682698208,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
28,0.4445338353456283,186.87401792694777,10.383438612828728,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
29,11.480068984940395,112.8706925833171,33.02179579928945,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
30,4.430238180781046,198.9439919034605,12.239030081392421,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
31,2.575290555085208,70.78707473220933,19.67762989828573,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
32,0.9469715455407515,291.2148468880183,17.54978562828837,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
33,0.40010736450357937,170.9297441328907,5.374117580391583,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
34,0.6790127366987155,147.2890279170128,4.8625293771893485,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
35,1.7435105446774761,167.32568324343316,2.4643315131532324,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
