test,loss,gamma,k_on,superhelical_op,spacer,k_closed,k_open,width,threshold,k_ini,kappa,velocity,stall_torque,k_off
15,10.570217232738466,0.3695833167176673,0.26324289907010523,-0.06,17.0,0.2524663127942913,0.3640927990494546,0.005,-0.042,0.16273270036286624,0.5,30.0,12.0,0.27998012465977595
16,1.370083210484578,0.015557660581535376,0.07059440910908944,-0.06,17.0,0.3689188486988246,0.3433110749348282,0.005,-0.042,0.40694783178748845,0.5,30.0,12.0,0.3116273904426666
17,0.10721942534879914,0.01465321051542573,0.17948997869019187,-0.06,17.0,0.07310498541308182,0.35261195900506,0.005,-0.042,0.48503387807809234,0.5,30.0,12.0,0.28937653331050156
18,19.519705641121217,0.7000388232969366,0.36657343161799766,-0.06,17.0,0.1971221005497399,0.11701999740290957,0.005,-0.042,0.37600284577477716,0.5,30.0,12.0,0.0711908228807139
19,1.4387296331255495,0.49336141480376466,0.3981513653658073,-0.06,17.0,0.440345928254206,0.09881643449899528,0.005,-0.042,0.1011178294396616,0.5,30.0,12.0,0.34810463006147324
20,2.91653487520843,0.8337821117210769,0.3384016045355839,-0.06,17.0,0.014101974766109276,0.015018787202194366,0.005,-0.042,0.4743856012576511,0.5,30.0,12.0,0.4997075087638183
21,4.624012038028734,0.9912484263516969,0.20335898660750176,-0.06,17.0,0.10787799768137152,0.4860846420477417,0.005,-0.042,0.48591241738697943,0.5,30.0,12.0,0.38282679929578106
22,11.944354604874627,0.7917941787117416,0.41104668148813467,-0.06,17.0,0.010441205267898407,0.4616469901641422,0.005,-0.042,0.05975076213838748,0.5,30.0,12.0,0.48409222251898926
23,2.445865393994921,0.5604365460054468,0.12482056865501352,-0.06,17.0,0.16993824575187771,0.401352926148629,0.005,-0.042,0.22293789847704032,0.5,30.0,12.0,0.333170189533737
24,4.5278075095562285,0.7111153046348537,0.3281215969727499,-0.06,17.0,0.07716849232728712,0.20119765613247068,0.005,-0.042,0.27526528999448974,0.5,30.0,12.0,0.09694004956293209
25,2.7967291379243426,0.37714126077430193,0.17296860475126094,-0.06,17.0,0.40783198822832667,0.30112031477832935,0.005,-0.042,0.3242330389549016,0.5,30.0,12.0,0.1298561773190267
26,0.8130149269596904,0.9130897963985183,0.29477796948272406,-0.06,17.0,0.05746551289626345,0.032465964731485525,0.005,-0.042,0.11955759518538622,0.5,30.0,12.0,0.39286089339723385
27,2.8094693900422283,0.7559649696436902,0.10922500558151665,-0.06,17.0,0.16869679842873536,0.383801853779344,0.005,-0.042,0.20845593530620812,0.5,30.0,12.0,0.4710016831077908
28,0.4445338353456283,0.6179785619853098,0.014069193653138912,-0.06,17.0,0.3278460223714467,0.4994083707950503,0.005,-0.042,0.052911079921922136,0.5,30.0,12.0,0.016922155502268943
29,11.480068984940395,0.8624341380509155,0.37429639812798365,-0.06,17.0,0.20649290712329807,0.4378305087447708,0.005,-0.042,0.45122216450500674,0.5,30.0,12.0,0.4133550208864472
30,4.430238180781046,0.5472484774489146,0.43845350187527443,-0.06,17.0,0.1225509386819265,0.170989685484253,0.005,-0.042,0.31497161388135525,0.5,30.0,12.0,0.3206899634429964
31,2.575290555085208,0.6720445641982442,0.19797383275224567,-0.06,17.0,0.034193964012277575,0.2137142909620355,0.005,-0.042,0.25609205056604367,0.5,30.0,12.0,0.3740577685628741
32,0.9469715455407515,0.043007763463874166,0.465880781420008,-0.06,17.0,0.479059158129705,0.2591373105937659,0.005,-0.042,0.1347320453598884,0.5,30.0,12.0,0.35390564507977845
