test,loss,PleuWT_k_closed,PleuWT_k_ini,PleuWT_k_off,PleuWT_k_on,PleuWT_k_open,PleuWT_spread,PleuWT_superhelical_op,antitet_k_closed,antitet_k_ini,antitet_k_off,antitet_k_on,antitet_k_open,antitet_spread,antitet_superhelical_op,bla_k_closed,bla_k_ini,bla_k_off,bla_k_on,bla_k_open,bla_spread,bla_superhelical_op,bridge_off,bridge_on,gyrase_concentration,lacI_k_off,lacI_k_on,leakage,tetA_k_closed,tetA_k_ini,tetA_k_off,tetA_k_on,tetA_k_open,tetA_spread,tetA_superhelical_op,topoI_concentration
1732,2.7198360095900638,0.25443157670344246,0.4246868552790506,0.20762735539215585,0.3252650418213647,0.25631121026124604,0.0076223439902614095,-0.05039414183427596,0.39643351011841843,0.23457050067148397,0.4629307146136177,0.44508716117116887,0.3594924772604263,0.024361342712982147,-0.019908491158030273,0.05189839104231015,0.26185959963964434,0.13218408026806386,0.4025845970478938,0.1359557031319093,0.028976637745867742,-0.08452898342566628,0.007094525907820241,0.23021429563426576,22.378353682440697,0.17077941055310028,0.07326794617515818,0.13414348560408254,0.3473215748720816,0.4533013549824224,0.02690416458546808,0.4343532156173995,0.2103701254345034,0.0176380327361745,-0.07725801785284443,13.626246055800042
1733,5.734582582122873,0.08064333097946709,0.47133664086512617,0.18117989220447245,0.28415120286635487,0.22724499751340793,0.005071254299292943,-0.05298801409493134,0.37508709614255586,0.18133403420513966,0.49049744512161875,0.48414387882683496,0.4453588583738967,0.02232551338139754,-0.024769655815128824,0.07205280432532542,0.1825911234226547,0.09007493025118984,0.42988688441902084,0.11855674620590309,0.03455388567508376,-0.07953421537792664,0.0010155602730984388,0.24301908263159894,28.415855940751698,0.2157783356074732,0.028851516240875445,0.12589762860857487,0.28571732141433104,0.3805790967051491,0.01006442743673896,0.4558918224500566,0.3176882428240394,0.023408870579957337,-0.07522694368292583,10.238421305979983
1734,3.497102906463885,0.3093417494525513,0.39836345292322967,0.25055087879573096,0.3110923672945597,0.27574629380741683,0.009164512426359923,-0.04158097939846052,0.40362487529970076,0.217477553913869,0.42551499470711135,0.40648663738327767,0.38570028815714763,0.020308354697434767,-0.017403743571648613,0.03891870036739212,0.2311790750488621,0.10279882376089004,0.3859934989383137,0.15664515842134324,0.03131965329856305,-0.09034527950491433,0.01632055816701427,0.2184589656828624,27.056416044259876,0.2280787893675911,0.04396284308777562,0.1541079533883152,0.3031705155440554,0.3381730662305843,0.018574757556375814,0.4213088618848295,0.18668512283498429,0.021626306318105686,-0.08809624658809133,11.389149528858894
1735,3.979326696892689,0.23323135711140822,0.35323369859107867,0.21968128619749094,0.2695663879512341,0.2119214564799881,0.0050023485425298424,-0.045346925650348535,0.30704452540639954,0.19702683354002726,0.4498977223028702,0.45537718132965327,0.4042390304244299,0.02148585111318963,-0.01150683385454972,0.06224569535431769,0.21516343931409543,0.07327115407760504,0.4221629764261163,0.09692774231079629,0.02759753433278116,-0.08607161594233065,0.011863990613513654,0.18619167383177337,22.34417441546829,0.20245758878593043,0.059467611324669545,0.19002042338438682,0.3621174506100516,0.3128887403666589,0.04835284384435254,0.46652571711590574,0.24079015444416116,0.01875546504030719,-0.08342709784367149,9.016866494052618
1736,2.5801416452080983,0.32324173655369387,0.3872347912941494,0.19231825165071692,0.29525125696608356,0.24081625464934223,0.010488820280112839,-0.03786398865289761,0.3478242625626439,0.18376326947425567,0.437415289575516,0.43596108695245184,0.4377422963835211,0.02318012750289945,-0.021982485818125685,0.025750295074842545,0.20000339661127212,0.12047651357730584,0.41168764139828423,0.11210380302127457,0.03281664832139335,-0.0813329335317988,0.014133609854416928,0.25777239082306247,30.174668576788818,0.1545710170498379,0.011401676074857849,0.20411355635847975,0.33834025065145445,0.42075003196566924,0.010628017275548346,0.48590312022784155,0.29753625866294003,0.024619473631049472,-0.0812220239681428,15.52215604376803
1737,2.0375873648969622,0.28159336984771477,0.4062427986977274,0.23697927851254164,0.31613066928205386,0.23261144946772833,0.005016830660942799,-0.047113581257837545,0.4160488511642383,0.2092117264586505,0.3946331302642473,0.41919632694181974,0.3515735937801785,0.02660480638634825,-0.003969966023917495,0.01066274948953731,0.36499623278814297,0.06084809141634438,0.3766509842712552,0.08702292267145502,0.024708248279392036,-0.07847107691020913,0.006001575218521072,0.20333336294775176,23.584857777375355,0.14128211279358094,0.08398134257506923,0.14045681185206638,0.3109520720710338,0.43666821457209476,0.0636011128401835,0.44572840730699453,0.22273139459938682,0.015171131609824116,-0.07416217989570015,12.019661776860806
1738,2.3289284602768148,0.2981824973040462,0.374495179468699,0.17133654211678218,0.32591263776415574,0.1919359293682132,0.006645915152630846,-0.051292336916541885,0.4367783320394087,0.2642606481690975,0.4840992176190506,0.44609414404616204,0.4917720231025947,0.025059412320081485,-0.01542081244284953,0.04807307535334482,0.28510502490405876,0.1565850260118543,0.3987740353531274,0.1722984243115164,0.030895015608634162,-0.08340111341252486,0.0027128900007376815,0.24024241324186488,29.21076113546114,0.1744868488824008,0.301622004889587,0.16720165443667354,0.35692763744580835,0.40323392888201376,0.010422414498476985,0.4405957135827705,0.2548621639977541,0.020460456979163766,-0.07860780226750579,12.660898539369214
1739,12.165948864188504,0.330858746098367,0.48532689863541406,0.2055631613077242,0.28026168191594997,0.29065667510914933,0.008244108668731247,-0.05567515124767937,0.38255364810684295,0.25161795117362556,0.4169457127953875,0.45936291449595007,0.4117287217847067,0.02409924927291688,-0.007794855423424819,0.03250145898151198,0.14660898955882118,0.07996785496751421,0.44356404430717666,0.21097879540444742,0.02982799732463057,-0.0892228705978512,0.008566537334905094,0.2251365130078463,24.575211635560244,0.19201238494610873,0.019181911909335256,0.12236864464970038,0.32167783798170185,0.4152507852489448,0.030446384552407547,0.4750102344115131,0.19641057441244128,0.022935726379247602,-0.07657543964515373,10.54905786321717
1740,0.6904237485989533,0.3112764941643429,0.41651248788843204,0.15789736581290675,0.3025456362332844,0.2186875822010319,0.011718856861721425,-0.049469751218490635,0.39403840415801394,0.18808270840624502,0.45506195774140823,0.4756080633975137,0.37718501719086495,0.02097254640240607,-0.019750534830271827,0.018480311057290748,0.24567032574145542,0.10467154607191492,0.4534514505067412,0.14324153568061146,0.028346924331972456,-0.07596061241976927,0.011016573421034388,0.21170289079787608,25.984774729318644,0.22802217687794643,0.03833129199055205,0.15235988757800847,0.2678838157467499,0.36651710555419487,0.01032244195654402,0.4601960670276521,0.23766553842795732,0.019240887783095153,-0.07233505241406694,9.585015981680353
1741,5.142036038858622,0.2483833524181204,0.36505371941435716,0.18593146286695178,0.25852762912571275,0.2606996724352185,0.0050082694456009685,-0.04358368953526331,0.4207919666022114,0.17970357737732534,0.47096551237718115,0.38928385393082066,0.47000417545742135,0.027787288230702284,-0.013391410914565065,0.07641448856412901,0.20495696492272847,0.11569091438193087,0.3853714802662613,0.12867686939657205,0.03208995588528495,-0.0732901417359958,0.016379552347561156,0.25033771811197925,27.558910312911276,0.21143271199613084,0.06061260390065194,0.18194334141355364,0.2793841806606741,0.47357830307083437,0.04041826660510146,0.4207021908532736,0.28006772297295024,0.01620386452412574,-0.08054461013107798,11.144213250331726
1742,2.9617102223853546,0.26628800332798214,0.38260042115307125,0.2427928405904363,0.329449543658417,0.207234172955389,0.00958182116346269,-0.040677491823499036,0.32822960532262235,0.19979479713793855,0.4095363262385958,0.4894167870698541,0.42615591504400024,0.02249787550337977,-0.021863508828963475,0.05865506411209777,0.22839047267712292,0.06971362434741095,0.36552642759060644,0.18720866319115215,0.033282921402669634,-0.08599819006893387,0.014355314506861581,0.19354373351141776,29.83129466649755,0.16188593193910528,0.049586391045561506,0.21779467082210485,0.34477280039963293,0.44221175422320136,0.06990382819832949,0.4989502265489253,0.17894567967458147,0.02114597680101629,-0.07026658814395355,16.195961607637898
1743,15.911299723504085,0.34078784167217385,0.43189675849159564,0.22261655889054247,0.29179755380827016,0.24386157841622735,0.007665790037061326,-0.053240023530883064,0.4267244804174417,0.17575353937820196,0.44363225315000226,0.425569661442665,0.39732732752559435,0.025808900403239188,-0.024656359519342273,0.03746872058277088,0.2703801043820185,0.09574244029594367,0.43073561427136553,0.10977084516661503,0.030566933506901914,-0.08221029690569623,0.012254653786507854,0.2770876191230482,24.539278867107313,0.20428538852008848,0.011029476718956877,0.16366852528014134,0.3706730007828247,0.4628570436918571,0.05208358931614479,0.4313620286243458,0.26804684022761766,0.023660132014121912,-0.0753262901391683,12.924074935627758
1744,0.6718023407197742,0.28935608787132877,0.45996900062871915,0.2562717469373978,0.307862555570202,0.1935274557088495,0.0066123150890656564,-0.04751564159690037,0.4591869415820103,0.22046887805420834,0.4793795508201581,0.4115663801926972,0.3626451844636952,0.023349514130227945,-0.019703743073188753,0.046391357098484756,0.25570124931560145,0.12580449288113324,0.41866088272617497,0.10031380539304066,0.03478161067222256,-0.08785339804862266,0.0011851031586621076,0.25909517195986875,23.309641899258914,0.18313415201009547,0.028956473633326707,0.13323729625077668,0.3295896784884428,0.3840617255657279,0.028879181581907443,0.4881321605682689,0.21736928180543968,0.025042222730744322,-0.08545104190962202,14.39069402704196
1745,1.4873294247633455,0.2790968460269302,0.39505477837964537,0.21428003937103696,0.2709526783752343,0.21946686055012424,0.01081038314674058,-0.04561440750869038,0.36777047932290036,0.2309923257265365,0.46498025869343873,0.44020819019610075,0.46093477293652,0.01988795112794135,-0.017226731297289376,0.010138951372955198,0.32117898528958494,0.15124830382232235,0.465725292282025,0.15223413076742226,0.026446724568758267,-0.08029871624299578,0.00608175081083479,0.22941643039793527,26.280016799380284,0.1940744801362142,0.07761274299610767,0.19813992191878715,0.29871574395991485,0.44882299600133146,0.01951779974175066,0.49967484977788246,0.20280510411476937,0.022314543066620913,-0.08200838356489021,10.038586944604363
1746,7.812559315050563,0.354923825603247,0.4403220720737705,0.1623976499777502,0.25030088152141616,0.26815096857077736,0.008500800002660333,-0.03568165285984411,0.3390388719826575,0.28416688349934716,0.42715329771351135,0.46635093424436685,0.43811126273973033,0.02184370912959178,-0.010783050797759108,0.025641494469347596,0.2413096924574508,0.05982330000551241,0.4060489287051624,0.08737005684676921,0.029055741145793793,-0.08488193278308627,0.004317741821534582,0.21520746312002767,28.487737769293638,0.22227938808867714,0.09496989326163,0.11909158215936644,0.2905633605478399,0.394990308227277,0.4515556115136691,0.4498321210270879,0.22825151232248217,0.017945171309584465,-0.0790839681053104,9.054983450184345
1747,11.036563835484872,0.3172976537255684,0.40785387423801217,0.197251684031175,0.2828432404112294,0.25144246831006145,0.011875675377095215,-0.05609805534912305,0.3929195474614152,0.1959646530847613,0.39873091106935155,0.40113142593863893,0.3861976908555781,0.026941358028349273,-0.015087546424939584,0.08371137527738437,0.13464655264717235,0.08523582581422927,0.3953554117458566,0.13540345823805847,0.031643055143873014,-0.07731358476377741,0.010006000930713162,0.27181817902908745,25.61897295763805,0.1758572748289797,0.010292861697739936,0.14766787262562553,0.3176132315858789,0.32442606111929817,0.037767368301454995,0.4651611719017349,0.2460660782305484,0.01969816014617078,-0.07323254362746891,13.399666836583943
1748,4.0274224626368245,0.3048304882337695,0.3588898529972397,0.18145957720949815,0.3146803781448817,0.22833643468161272,0.009966571009698553,-0.057403750547203466,0.40616071382037733,0.24010497200807868,0.4926431348570288,0.45460844211445534,0.40203471533760504,0.023931138197084513,-0.018460929724705265,0.06511157533124233,0.2144924393051658,0.10038319964323833,0.23104938714924433,0.11886632687236987,0.02771764055803769,-0.09019777020615641,0.008404266582235875,0.23343537094126715,27.439897051550638,0.2332626007397357,0.07125417965088299,0.17758237674272925,0.3509019957604778,0.4300377245564787,0.05321100142576468,0.43933843645299836,0.1921072260589437,0.021914910367796966,-0.08370953601569142,11.89870831915292
1749,0.5367620943264187,0.24236798649520283,0.4196519315453883,0.22882686900752242,0.3034512336855858,0.19620712245454502,0.005834166073188905,-0.05107525540413396,0.34868985908085864,0.21361459990219986,0.4583954059169934,0.4251714288090129,0.42362881469261054,0.024829325896445525,-0.024567910830176776,0.05782542467566423,0.18488469936927537,0.06741648692286802,0.37186999844661717,0.16522324936633573,0.02976098292699427,-0.08764292763283817,0.015198340216308226,0.23705764363667087,30.24543179451981,0.21550469900955896,0.04192180552969166,0.13786757231340707,0.3357366729676412,0.35818826221329564,0.023731628859641918,0.4800137015853344,0.27459269113991125,0.020542243352698487,-0.07174264135018858,10.646911527389816
