test,loss,PleuWT_k_closed,PleuWT_k_ini,PleuWT_k_off,PleuWT_k_on,PleuWT_k_open,PleuWT_spread,PleuWT_superhelical_op,bridge_off,bridge_on,gyrase_concentration,lacI_k_off,lacI_k_on,leakage,tetA_k_closed,tetA_k_ini,tetA_k_off,tetA_k_on,tetA_k_open,tetA_spread,tetA_superhelical_op,topoI_concentration
10,10.074287341775326,0.08596907320442586,0.2673042768570032,0.3135935616980086,0.3057644473121285,0.4024050002604175,0.01112422254262035,-0.016510392714366343,0.04010805085210335,0.09643435284443676,28.252051043872616,0.2689242597451016,0.4976399471368846,0.3738391094336324,0.03597107230013159,0.18761286762426624,0.28838235745752316,0.14517386019907713,0.1043407335286521,0.03133769523235403,-0.04409504032530113,27.412487696334605
11,9.488339182393156,0.11194312232438923,0.29480296606406425,0.014607609323993508,0.09228215637783962,0.15434692581883036,0.017218860052473178,-0.027209724463124238,0.09465696480818042,0.40057506870610815,54.950027763130024,0.4023834770665562,0.020532612976034693,0.014102772985315003,0.4139465799361706,0.45434623984655853,0.049442868721178576,0.1796660621093554,0.467157273637823,0.02486952957765506,-0.010697666276829804,23.00704224189689
12,5220.536898757895,0.20365722390786423,0.1478800567621133,0.45120593741325304,0.2550499008940761,0.4310493471598492,0.011600155294220996,-0.06823136653628449,0.08893334694060684,0.20566805810879835,25.810209710589863,0.27595319807492774,0.0862707538676934,0.47979333966183707,0.4017795776076215,0.39752781923353125,0.04380979693038719,0.36014760245979477,0.3302479962527933,0.028977667818984164,-0.07841052736812225,29.31030695841255
13,16.48806924100986,0.33499435085039686,0.010991414777020342,0.16027265058552911,0.01254324133967078,0.4842113717582606,0.02072281305099155,-0.013176505712952938,0.09029537071768522,0.45670415304137535,80.17161499549186,0.43952521354350566,0.4451807443904637,0.15675015936806513,0.1923130353563381,0.3198260395224642,0.09102882098892828,0.22143799445741244,0.4671974603903467,0.014962930099183504,-0.030764357331313844,13.834222652403826
14,5.483029462149657,0.46575139919918307,0.38819857563094273,0.21607701847713146,0.45113001321084056,0.19860893632417703,0.005834370949834827,-0.06711308367238279,0.08394416886770682,0.2599003240354089,83.66155719053214,0.15690241916190048,0.44471253059233007,0.39116619587958346,0.3749907499096906,0.3292216933109827,0.2563807195915101,0.3193403548099473,0.05267744026901843,0.047576486328201266,-0.030021879037839386,26.856335120328836
15,1.8164672001272577,0.04298740063563781,0.15026552338360533,0.06445294063165635,0.2523534560402728,0.4488383176186918,0.04837923755807886,-0.06192858381147416,0.09279656070205597,0.29228433459929876,56.812802304636364,0.4972367338167687,0.39336067364758753,0.48040105791276927,0.1556738384172937,0.15382920680941845,0.32624408601884425,0.433209766077389,0.2631536374505212,0.0172829702488588,-0.05102338013326632,31.413972187544495
16,2.509974858710978,0.35225631153836917,0.16797184211082988,0.20524932793313372,0.4392471546439525,0.25237264079120864,0.03737118750542525,-0.008394870791077091,0.06301720713040318,0.38612123367390994,66.30485531447961,0.17274540241375935,0.3126754598509582,0.18419192247003727,0.23262709011078972,0.2990324108443057,0.0807247443723988,0.4841834741122865,0.13082813109524624,0.02407975146763156,-0.05951480384156567,24.366571232535293
17,1.3760038823818925,0.2903175692157641,0.03783858569806539,0.1382460010314414,0.32677403438158487,0.07798274327038694,0.04404825265037467,-0.0642827798504474,0.029535173288113902,0.37525162388701233,36.78677478086275,0.33210458705145773,0.2094668672402553,0.4370497208063158,0.36047592016747515,0.4263495804575464,0.42287431978422385,0.2615100559654807,0.039896140491277904,0.01400537815438295,-0.03404052898693348,17.18142709372057
18,7.229845144434206,0.3216252660276861,0.35939780028791934,0.08064513520677151,0.23239491800719872,0.408951934782617,0.017372615863619534,-0.04789872964504221,0.03487477000984014,0.23892534336167653,67.9662887329076,0.15123813142591241,0.07614742494860889,0.2912698466103184,0.3161065865506896,0.13119006575393813,0.18039795832327113,0.09760536837900297,0.07842042647200924,0.006535511879589395,-0.08277523675257557,20.057464953877496
19,1.6484748667675948,0.03192232122784389,0.1737039349264166,0.26964708536543364,0.10645806172370444,0.35550856035303485,0.03763924672331985,-0.05662564555048764,0.029587979750572632,0.025721804152328193,52.69522009442912,0.028077968964710154,0.21239230442131854,0.042381461998667345,0.1320727451909399,0.1544101404859261,0.22394295578041012,0.3332482440168726,0.0817799854267965,0.0073260526004005205,-0.05537286005817868,31.64635128781438
