frame,time,type,name,concentration
128,64.0,topo,gyrase,0.0
128,64.0,RNAP,RNAP,1.0
129,64.5,topo,topoI,0.25
129,64.5,topo,gyrase,0.0
129,64.5,RNAP,RNAP,1.0
130,65.0,topo,topoI,0.25
130,65.0,topo,gyrase,0.0
130,65.0,RNAP,RNAP,1.0
131,65.5,topo,topoI,0.25
131,65.5,topo,gyrase,0.0
131,65.5,RNAP,RNAP,1.0
132,66.0,topo,topoI,0.25
132,66.0,topo,gyrase,0.0
132,66.0,RNAP,RNAP,1.0
133,66.5,topo,topoI,0.25
133,66.5,topo,gyrase,0.0
133,66.5,RNAP,RNAP,1.0
134,67.0,topo,topoI,0.25
134,67.0,topo,gyrase,0.0
134,67.0,RNAP,RNAP,1.0
135,67.5,topo,topoI,0.25
135,67.5,topo,gyrase,0.0
135,67.5,RNAP,RNAP,1.0
136,68.0,topo,topoI,0.25
136,68.0,topo,gyrase,0.0
136,68.0,RNAP,RNAP,1.0
137,68.5,topo,topoI,0.25
137,68.5,topo,gyrase,0.0
137,68.5,RNAP,RNAP,1.0
138,69.0,topo,topoI,0.25
138,69.0,topo,gyrase,0.0
138,69.0,RNAP,RNAP,1.0
139,69.5,topo,topoI,0.25
139,69.5,topo,gyrase,0.0
139,69.5,RNAP,RNAP,1.0
140,70.0,topo,topoI,0.25
140,70.0,topo,gyrase,0.0
140,70.0,RNAP,RNAP,1.0
141,70.5,topo,topoI,0.25
141,70.5,topo,gyrase,0.0
141,70.5,RNAP,RNAP,1.0
142,71.0,topo,topoI,0.25
142,71.0,topo,gyrase,0.0
142,71.0,RNAP,RNAP,1.0
143,71.5,topo,topoI,0.25
143,71.5,topo,gyrase,0.0
143,71.5,RNAP,RNAP,1.0
144,72.0,topo,topoI,0.25
144,72.0,topo,gyrase,0.0
144,72.0,RNAP,RNAP,1.0
145,72.5,topo,topoI,0.25
145,72.5,topo,gyrase,0.0
145,72.5,RNAP,RNAP,1.0
146,73.0,topo,topoI,0.25
146,73.0,topo,gyrase,0.0
146,73.0,RNAP,RNAP,1.0
147,73.5,topo,topoI,0.25
147,73.5,topo,gyrase,0.0
147,73.5,RNAP,RNAP,1.0
148,74.0,topo,topoI,0.25
148,74.0,topo,gyrase,0.0
148,74.0,RNAP,RNAP,1.0
149,74.5,topo,topoI,0.25
149,74.5,topo,gyrase,0.0
149,74.5,RNAP,RNAP,1.0
150,75.0,topo,topoI,0.25
150,75.0,topo,gyrase,0.0
150,75.0,RNAP,RNAP,1.0
151,75.5,topo,topoI,0.25
151,75.5,topo,gyrase,0.0
151,75.5,RNAP,RNAP,1.0
152,76.0,topo,topoI,0.25
152,76.0,topo,gyrase,0.0
152,76.0,RNAP,RNAP,1.0
153,76.5,topo,topoI,0.25
153,76.5,topo,gyrase,0.0
153,76.5,RNAP,RNAP,1.0
154,77.0,topo,topoI,0.25
154,77.0,topo,gyrase,0.0
154,77.0,RNAP,RNAP,1.0
155,77.5,topo,topoI,0.25
155,77.5,topo,gyrase,0.0
155,77.5,RNAP,RNAP,1.0
156,78.0,topo,topoI,0.25
156,78.0,topo,gyrase,0.0
156,78.0,RNAP,RNAP,1.0
157,78.5,topo,topoI,0.25
157,78.5,topo,gyrase,0.0
157,78.5,RNAP,RNAP,1.0
158,79.0,topo,topoI,0.25
158,79.0,topo,gyrase,0.0
158,79.0,RNAP,RNAP,1.0
159,79.5,topo,topoI,0.25
159,79.5,topo,gyrase,0.0
159,79.5,RNAP,RNAP,1.0
160,80.0,topo,topoI,0.25
160,80.0,topo,gyrase,0.0
160,80.0,RNAP,RNAP,1.0
161,80.5,topo,topoI,0.25
161,80.5,topo,gyrase,0.0
161,80.5,RNAP,RNAP,1.0
162,81.0,topo,topoI,0.25
162,81.0,topo,gyrase,0.0
162,81.0,RNAP,RNAP,1.0
163,81.5,topo,topoI,0.25
163,81.5,topo,gyrase,0.0
163,81.5,RNAP,RNAP,1.0
164,82.0,topo,topoI,0.25
164,82.0,topo,gyrase,0.0
164,82.0,RNAP,RNAP,1.0
165,82.5,topo,topoI,0.25
165,82.5,topo,gyrase,0.0
165,82.5,RNAP,RNAP,1.0
166,83.0,topo,topoI,0.25
166,83.0,topo,gyrase,0.0
166,83.0,RNAP,RNAP,1.0
167,83.5,topo,topoI,0.25
167,83.5,topo,gyrase,0.0
167,83.5,RNAP,RNAP,1.0
168,84.0,topo,topoI,0.25
168,84.0,topo,gyrase,0.0
168,84.0,RNAP,RNAP,1.0
169,84.5,topo,topoI,0.25
169,84.5,topo,gyrase,0.0
169,84.5,RNAP,RNAP,1.0
170,85.0,topo,topoI,0.25
170,85.0,topo,gyrase,0.0
170,85.0,RNAP,RNAP,1.0
171,85.5,topo,topoI,0.25
171,85.5,topo,gyrase,0.0
171,85.5,RNAP,RNAP,1.0
172,86.0,topo,topoI,0.25
172,86.0,topo,gyrase,0.0
172,86.0,RNAP,RNAP,1.0
173,86.5,topo,topoI,0.25
173,86.5,topo,gyrase,0.0
173,86.5,RNAP,RNAP,1.0
174,87.0,topo,topoI,0.25
174,87.0,topo,gyrase,0.0
174,87.0,RNAP,RNAP,1.0
175,87.5,topo,topoI,0.25
175,87.5,topo,gyrase,0.0
175,87.5,RNAP,RNAP,1.0
176,88.0,topo,topoI,0.25
176,88.0,topo,gyrase,0.0
176,88.0,RNAP,RNAP,1.0
177,88.5,topo,topoI,0.25
177,88.5,topo,gyrase,0.0
177,88.5,RNAP,RNAP,1.0
178,89.0,topo,topoI,0.25
