frame,time,type,name,concentration
123,123.0,topo,topoI,0.25
123,123.0,topo,gyrase,0.25
124,124.0,topo,topoI,0.25
124,124.0,topo,gyrase,0.25
125,125.0,topo,topoI,0.25
125,125.0,topo,gyrase,0.25
126,126.0,topo,topoI,0.25
126,126.0,topo,gyrase,0.25
127,127.0,topo,topoI,0.25
127,127.0,topo,gyrase,0.25
128,128.0,topo,topoI,0.25
128,128.0,topo,gyrase,0.25
129,129.0,topo,topoI,0.25
129,129.0,topo,gyrase,0.25
130,130.0,topo,topoI,0.25
130,130.0,topo,gyrase,0.25
131,131.0,topo,topoI,0.25
131,131.0,topo,gyrase,0.25
132,132.0,topo,topoI,0.25
132,132.0,topo,gyrase,0.25
133,133.0,topo,topoI,0.25
133,133.0,topo,gyrase,0.25
134,134.0,topo,topoI,0.25
134,134.0,topo,gyrase,0.25
135,135.0,topo,topoI,0.25
135,135.0,topo,gyrase,0.25
136,136.0,topo,topoI,0.25
136,136.0,topo,gyrase,0.25
137,137.0,topo,topoI,0.25
137,137.0,topo,gyrase,0.25
138,138.0,topo,topoI,0.25
138,138.0,topo,gyrase,0.25
139,139.0,topo,topoI,0.25
139,139.0,topo,gyrase,0.25
140,140.0,topo,topoI,0.25
140,140.0,topo,gyrase,0.25
141,141.0,topo,topoI,0.25
141,141.0,topo,gyrase,0.25
142,142.0,topo,topoI,0.25
142,142.0,topo,gyrase,0.25
143,143.0,topo,topoI,0.25
143,143.0,topo,gyrase,0.25
144,144.0,topo,topoI,0.25
144,144.0,topo,gyrase,0.25
145,145.0,topo,topoI,0.25
145,145.0,topo,gyrase,0.25
146,146.0,topo,topoI,0.25
146,146.0,topo,gyrase,0.25
147,147.0,topo,topoI,0.25
147,147.0,topo,gyrase,0.25
148,148.0,topo,topoI,0.25
148,148.0,topo,gyrase,0.25
149,149.0,topo,topoI,0.25
149,149.0,topo,gyrase,0.25
150,150.0,topo,topoI,0.25
150,150.0,topo,gyrase,0.25
151,151.0,topo,topoI,0.25
151,151.0,topo,gyrase,0.25
152,152.0,topo,topoI,0.25
152,152.0,topo,gyrase,0.25
153,153.0,topo,topoI,0.25
153,153.0,topo,gyrase,0.25
154,154.0,topo,topoI,0.25
154,154.0,topo,gyrase,0.25
155,155.0,topo,topoI,0.25
155,155.0,topo,gyrase,0.25
156,156.0,topo,topoI,0.25
156,156.0,topo,gyrase,0.25
157,157.0,topo,topoI,0.25
157,157.0,topo,gyrase,0.25
158,158.0,topo,topoI,0.25
158,158.0,topo,gyrase,0.25
159,159.0,topo,topoI,0.25
159,159.0,topo,gyrase,0.25
160,160.0,topo,topoI,0.25
160,160.0,topo,gyrase,0.25
161,161.0,topo,topoI,0.25
161,161.0,topo,gyrase,0.25
162,162.0,topo,topoI,0.25
162,162.0,topo,gyrase,0.25
163,163.0,topo,topoI,0.25
163,163.0,topo,gyrase,0.25
164,164.0,topo,topoI,0.25
164,164.0,topo,gyrase,0.25
165,165.0,topo,topoI,0.25
165,165.0,topo,gyrase,0.25
166,166.0,topo,topoI,0.25
166,166.0,topo,gyrase,0.25
167,167.0,topo,topoI,0.25
167,167.0,topo,gyrase,0.25
168,168.0,topo,topoI,0.25
168,168.0,topo,gyrase,0.25
169,169.0,topo,topoI,0.25
169,169.0,topo,gyrase,0.25
170,170.0,topo,topoI,0.25
170,170.0,topo,gyrase,0.25
171,171.0,topo,topoI,0.25
171,171.0,topo,gyrase,0.25
172,172.0,topo,topoI,0.25
172,172.0,topo,gyrase,0.25
173,173.0,topo,topoI,0.25
173,173.0,topo,gyrase,0.25
174,174.0,topo,topoI,0.25
174,174.0,topo,gyrase,0.25
175,175.0,topo,topoI,0.25
175,175.0,topo,gyrase,0.25
176,176.0,topo,topoI,0.25
176,176.0,topo,gyrase,0.25
177,177.0,topo,topoI,0.25
177,177.0,topo,gyrase,0.25
178,178.0,topo,topoI,0.25
178,178.0,topo,gyrase,0.25
179,179.0,topo,topoI,0.25
179,179.0,topo,gyrase,0.25
180,180.0,topo,topoI,0.25
